Unnamed: 0,log_rate,Interest_Rate,FICO_Range,Loan_Length,Amount_Funded_By_Investors,log_ar,Inquiries_in_the_Last_6_Months,Debt_To_Income_Ratio,Loan_Purpose_debt_consolidation,Loan_Purpose_major_purchase,Loan_Purpose_home_improvement,Home_Ownership_RENT,Home_Ownership_MORTGAGE,Loan_Purpose_car,Open_CREDIT_Lines,Revolving_CREDIT_Balance,Loan_Approved
0,2.186051276738094,8.9,735.0,36.0,20000.0,9.903487552536127,2.0,14.9,1,0,0,0,1,0,14.0,14272.0,1
1,2.494856980641168,12.12,715.0,36.0,19200.0,9.862665558015872,1.0,28.36,1,0,0,0,1,0,12.0,11140.0,0
2,3.090132948975475,21.98,690.0,60.0,31000.0,10.419300717813158,1.0,23.81,1,0,0,0,1,0,14.0,21977.0,0
3,2.301584592660462,9.99,695.0,36.0,9975.0,9.210340371976184,0.0,14.3,1,0,0,0,1,0,10.0,9346.0,0
4,2.460443177609626,11.71,695.0,36.0,12000.0,9.392661928770137,0.0,18.78,0,0,0,1,0,0,11.0,14469.0,0
5,2.728506209669592,15.31,670.0,36.0,6000.0,8.699514748210191,2.0,20.05,0,0,0,0,0,0,17.0,10391.0,0
6,2.066862759472976,7.9,720.0,36.0,10000.0,9.210340371976184,0.0,26.09,1,0,0,1,0,0,10.0,15957.0,0
7,2.8414149131696336,17.14,705.0,60.0,31000.0,10.419300717813158,0.0,14.7,0,0,0,0,1,0,12.0,27874.0,0
8,2.6623552418400807,14.33,685.0,36.0,14675.0,9.593900644696298,1.0,26.92,0,0,0,1,0,0,9.0,7246.0,0
9,1.9329696377795784,6.91,715.0,36.0,7000.0,8.85366542803745,0.0,7.1,0,0,0,1,0,0,8.0,7612.0,1
10,2.9816333491744893,19.72,670.0,36.0,2000.0,7.600902459542082,0.0,10.29,0,0,0,1,0,0,10.0,12036.0,0
11,2.658159431488745,14.27,665.0,36.0,10625.0,9.270964993792616,0.0,12.54,1,0,0,0,1,0,14.0,10767.0,0
12,3.075928815548268,21.67,670.0,60.0,27975.0,10.23995978915734,0.0,13.07,1,0,0,0,1,0,12.0,10311.0,0
13,2.186051276738094,8.9,735.0,36.0,31000.0,10.419300717813158,0.0,20.46,1,0,0,1,0,0,19.0,21536.0,0
14,2.030776369698555,7.62,725.0,36.0,9600.0,9.169518377455928,0.0,3.45,1,0,0,1,0,0,13.0,4606.0,1
15,2.750470916986162,15.65,730.0,60.0,24975.0,10.126631103850338,0.0,21.99,1,0,0,1,0,0,6.0,13929.0,0
16,2.494856980641168,12.12,695.0,36.0,10000.0,9.210340371976184,0.0,17.72,1,0,0,1,0,0,18.0,20317.0,0
17,2.338917022241436,10.37,740.0,60.0,13900.25,9.546812608597396,0.0,11.95,1,0,0,1,0,0,6.0,7419.0,1
18,2.278292400425001,9.76,730.0,36.0,10000.0,9.210340371976184,2.0,7.13,0,0,0,1,0,0,7.0,6112.0,1
19,2.301584592660462,9.99,760.0,60.0,5175.0,8.556413904569519,0.0,10.29,1,0,0,0,1,0,10.0,16094.0,1
20,3.090132948975475,21.98,665.0,36.0,21975.0,9.998797732340453,0.0,11.19,1,0,0,0,1,0,9.0,23124.0,0
